,name,email,country,signup_source,referral,signup_purpose,subscription_level,payment_method,sso_id,email_verified,enabled,registered_at
0,Joshua Walker,william25@example.org,Kiribati,facebook,http://burgess-brooks.net/faq.htm,education,premium,credit_card,ac8117ac-d723-4069-ab75-336c708dee19,True,True,2024-09-07T21:00:08
1,Joshua Evans,vanessa48@example.net,Uzbekistan,google,https://hoffman-rich.biz/terms/,personal,free,other,fd3132c4-0d55-4ce6-84e3-6bccf2cac919,False,False,2024-09-07T21:08:16
2,Jerry Bennett,drobinson@example.com,Moldova,twitter,https://williams-fuller.biz/tags/category.htm,other,trial,other,b2bcab2b-741e-437b-af66-0319fc97d0ec,True,False,2024-09-07T21:20:25
3,Ashley Fuentes,christopherrivera@example.com,Guyana,google,http://cortez.biz/terms/,education,free,credit_card,521595e3-751e-49ae-ba73-cff544ec5c2e,True,True,2024-09-07T21:32:01
4,Jay Jimenez,donna63@example.org,United States Minor Outlying Islands,facebook,http://www.rodriguez.org/login.html,education,free,paypal,32ab105a-1074-4379-8de7-80e969009c66,False,False,2024-09-07T21:36:59
5,Eric Hall,swagner@example.net,South Georgia and the South Sandwich Islands,twitter,https://www.rose.com/wp-content/categories/about.asp,personal,enterprise,check,1d3b0fb8-22d5-4940-8fce-9db6122307b7,False,False,2024-09-07T22:37:25
6,Marcia Owens,lrodriguez@example.org,Uruguay,twitter,http://beard.org/,business,enterprise,other,b6588405-c87f-40f9-8934-79a3813a98f5,False,True,2024-09-07T23:12:38
7,Melissa Ramirez,robert41@example.com,Gambia,google,https://www.webster-turner.biz/,business,premium,other,891d47e4-966c-404a-b808-267ed2b41c7f,False,True,2024-09-07T23:19:16
8,Marilyn West,kelly31@example.com,Djibouti,other,http://bond.com/terms/,other,trial,paypal,56eb1a88-1a8c-4623-b8cc-19d73ead80d3,True,True,2024-09-07T23:34:38
9,Kevin Cole,lori68@example.net,Brunei Darussalam,twitter,https://www.bowers-rubio.com/,personal,enterprise,credit_card,726d6779-eb0b-4e59-b0c0-db18513df3da,False,False,2024-09-07T23:41:44
10,Mrs. Whitney Mccoy,antonio83@example.org,Turkmenistan,twitter,https://sutton-anderson.com/author.html,personal,premium,other,5ce7aa7d-f068-4579-a57c-5b71992ddb57,True,False,2024-09-08T00:52:33
